CSV file generated by the Ecosuite Variance Report tool
For documentation on how these metrics are calculated, visit: https://docs.google.com/document/d/e/2PACX-1vTeN8uIWsHdDujwMb_2GRVfBn_EnYLOyvYal2a7wIY9utzMAcaD7lyKflud1hVW1qaTJRUYxori_ocV/pub

Project Code,Project Name,State,COD,Size (kW),Start Date (YYYY-MM-DD),End Date (YYYY-MM-DD),Actual Generation (kWh),Expected Generation (kWh),Forecast Generation (kWh),Variance with Expected Generation (%),Availability Loss (kWh),Actual + Availability Loss (kWh),Total Variance with Expected Generation (%),Actual Insolation (kWh/m2),Forecast Insolation (kWh/m2),Weather Adjusted Forecast Generation (kWh),Weather Adjusted Generation Variance (kWh),Av PPA Price ($/kWh),Anticipated PPA Revenue ($),Expected PPA Revenue ($),PPA Revenue Variance ($),Av Actual REC Sale Price ($/MWh),Actual RECs Generated,Expected RECs,Actual RECs Revenue ($),Expected RECs Revenue ($),REC Revenue Variance ($),Total Actual Revenue ($),Total Expected Revenue ($),Total Revenue Variance ($)
AWB4,Telyon AMZ Windsor LLC,Connecticut,2024-11-01,"5,838.16",2025-03-01,2025-03-31,"11,231.922","509,176.590641","305,282.124",-97.79%,0,"11,231.922",-97.79%,228.295292,131.13000000000002,"531,491.4332415175","-520,259.5112415175",0.113,"1,269.207186","57,536.954742433","-56,267.747556433",0,11.231922,509.176590641,0,0,0,"1,269.207186","57,536.954742433","-56,267.747556433"
CLE2,Amazon  - 21500 Emery Rd,Ohio,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLE3,Amazon  - 1155 Babbitt Rd,Ohio,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,112.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYR1,Amazon  - 7211 Morgan Road,New York,2025-10-13,"5,037.66",2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN5,Amazon  - 7144 Otay Mesa Road,California,2025-04-30,"3,408",2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOS3,Amazon  - 1450 Osgood Landing,Massachusetts,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN6,Amazon  - 9530 Otay Mesa Rd,California,2026-01-22,"2,688",2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNJ1,Amazon  - 1150 McBride Ave,New Jersey,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAX7,Amazon  - 18025 Slover Avenue,California,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disputana,Ahold - 6500 Enterprise Dr,Virginia,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYY9,Amazon  - 305 Robbins Lane,New York,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAX6,Amazon  - 2400 North Chain Dr,California,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DJT6,Telyon AMZ Riverside LLC,California,2024-12-02,859.56,2025-03-01,2025-03-31,"114,046.21900000001","100,731.497323","120,194",13.22%,0,"114,046.21900000001",13.22%,312.524,172.98,"217,155.21826800788","-103,108.99926800787",0.09,"10,264.15971","9,065.83475907","1,198.3249509300003",0,114.04621900000001,100.731497323,0,0,0,"10,264.15971","9,065.83475907","1,198.3249509300003"
KRB7,Telyon AMZ Beaumont LLC,California,2025-01-01,807,2025-03-01,2025-03-31,"86,451.07800000001","92,175.348923",0,-6.21%,0,"86,451.07800000001",-6.21%,294.107,186.93,0,"86,451.07800000001",0.105,"9,077.36319","9,678.411636915",-601.0484469149997,0,86.45107800000001,92.175348923,0,0,0,"9,077.36319","9,678.411636915",-601.0484469149997
ROC1,Amazon  - 2600 Manitou Road,New York,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZA9,Amazon  - 6395 N Sarival Ave,Arizona,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North,"Cuomo - 50 Ives Place, Building B",Connecticut,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South,"Cuomo - 50 Ives Place, Building A",Connecticut,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OldLyme,Brunswick - 5 Enterprise Dr,Connecticut,,0,2025-03-01,2025-03-31,156.899,60.0815,0,161.14%,0,156.899,161.14%,120.163,0,60.0815,96.8175,0,0,0,0,0,0.156899,0.060081499999999996,0,0,0,0,0,0
Solvay,Telyon SLVY West Deptford LLC,New Jersey,,0,2025-03-01,2025-03-31,0,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
